time,demand
1,1.376
2,1.278
3,1.371
4,0.791
5,0.736
6,0.821
7,0.838
8,0.827
9,0.895
10,1.049
11,0.933
12,0.734
13,0.737
14,0.949
15,1.183
16,0.923
17,1.131
18,1.348
19,1.433
20,1.824
21,1.560
22,1.401
23,1.026
24,0.817
25,0.733
26,0.577
27,0.516
28,0.526
29,0.673
30,0.635
31,0.604
32,0.610
33,0.835
34,0.870
35,0.661
36,0.888
37,0.681
38,0.710
39,0.757
40,0.843
41,0.674
42,0.795
43,1.214
44,0.839
45,0.726
46,0.659
47,1.048
48,0.873
49,0.725
50,0.675
51,0.657
52,0.616
53,0.603
54,0.640
55,0.596
56,0.625
57,0.579
58,0.676
59,1.218
60,1.823
61,0.883
62,0.789
63,0.912
64,1.029
65,0.942
66,0.916
67,0.712
68,1.125
69,1.136
70,1.027
71,1.193
72,0.968
73,0.740
74,0.680
75,0.713
76,0.657
77,0.731
78,0.739
79,0.725
80,0.809
81,0.755
82,0.831
83,0.972
84,1.049
85,1.097
86,0.882
87,0.965
88,2.849
89,2.666
90,2.640
91,1.358
92,1.526
93,1.411
94,1.260
95,1.368
96,1.336
97,0.970
98,0.676
99,0.636
100,0.549
101,0.586
102,0.561
103,0.589
104,0.545
105,0.877
106,0.926
107,1.028
108,1.150
109,1.167
110,1.245
111,1.111
112,1.106
113,1.111
114,0.889
115,0.882
116,0.817
117,1.068
118,1.067
119,2.864
120,1.833
121,2.358
122,0.727
123,0.637
124,0.619
125,0.573
126,0.595
127,0.611
128,0.564
129,0.894
130,1.597
131,1.072
132,0.916
133,0.796
134,0.824
135,0.778
136,0.913
137,0.811
138,0.604
139,0.599
140,0.652
141,0.597
142,0.631
143,1.178
144,0.895
145,0.851
146,0.810
147,0.660
148,0.611
149,0.639
150,0.595
151,0.608
152,0.589
153,0.888
154,0.965
155,0.820
156,0.970
157,1.378
158,1.066
159,1.837
160,1.543
161,0.963
162,1.073
163,0.860
164,0.774
165,1.019
166,0.890
167,1.130
168,0.813
169,0.751
170,0.699
171,0.653
172,0.594
173,0.566
174,0.567
175,0.612
176,0.555
177,0.850
178,1.024
179,1.565
180,0.848
181,0.645
182,0.645
183,0.637
184,0.683
185,0.612
186,0.481
187,0.469
188,0.613
189,0.638
190,0.545
191,0.850
192,0.939
193,0.987
194,1.017
195,0.511
196,0.447
197,0.482
198,0.423
199,0.456
200,0.440
201,0.782
202,0.878
203,1.198
204,0.648
205,0.654
206,0.719
207,0.652
208,1.290
209,0.591
210,0.317
211,0.301
212,0.295
213,0.304
214,0.299
215,0.281
216,0.274
217,0.255
218,0.307
219,0.241
220,0.294
221,0.272
222,0.406
223,0.363
224,0.384
225,0.347
226,0.390
227,0.492
