time,demand
2161,2.863
2162,2.763
2163,2.679
2164,2.626
2165,2.613
2166,2.649
2167,2.748
2168,2.933
2169,3.197
2170,3.447
2171,3.503
2172,3.361
2173,3.178
2174,3.042
2175,2.967
2176,2.932
2177,2.923
2178,2.944
2179,3.01
2180,3.141
2181,3.339
2182,3.448
2183,3.348
2184,3.178
2185,2.883
2186,2.807
2187,2.731
2188,2.669
2189,2.63
2190,2.624
2191,2.67
2192,2.799
2193,3.011
2194,3.267
2195,3.39
2196,3.235
2197,3.088
2198,2.983
2199,2.917
2200,2.883
2201,2.879
2202,2.905
2203,2.976
2204,3.109
2205,3.288
2206,3.4
2207,3.32
2208,3.152
2209,2.666
2210,2.585
2211,2.563
2212,2.591
2213,2.668
2214,2.8
2215,3.001
2216,3.381
2217,4.359
2218,5.551
2219,5.232
2220,4.127
2221,3.466
2222,3.278
2223,3.214
2224,3.151
2225,3.14
2226,3.269
2227,3.575
2228,3.959
2229,4.154
2230,3.995
2231,3.656
2232,3.346
2233,2.714
2234,2.676
2235,2.655
2236,2.663
2237,2.722
2238,2.862
2239,3.104
2240,3.44
2241,3.784
2242,3.916
2243,3.747
2244,3.459
2245,3.243
2246,3.133
2247,3.087
2248,3.083
2249,3.132
2250,3.259
2251,3.475
2252,3.739
2253,3.931
2254,3.882
2255,3.6
2256,3.298
2257,2.442
2258,2.413
2259,2.415
2260,2.471
2261,2.611
2262,2.863
2263,3.233
2264,3.679
2265,4.121
2266,4.198
2267,3.724
2268,3.32
2269,3.149
2270,3.078
2271,3.041
2272,3.035
2273,3.084
2274,3.212
2275,3.43
2276,3.691
2277,3.846
2278,3.684
2279,3.357
2280,3.088
2281,2.957
2282,2.838
2283,2.8
2284,2.812
2285,2.875
2286,3.009
2287,3.238
2288,3.554
2289,3.807
2290,3.762
2291,3.5
2292,3.24
2293,3.072
2294,2.981
2295,2.934
2296,2.928
2297,2.98
2298,3.111
2299,3.339
2300,3.637
2301,3.858
2302,3.77
2303,3.468
2304,3.18
2305,2.94
2306,2.826
2307,2.765
2308,2.746
2309,2.774
2310,2.87
2311,3.069
2312,3.376
2313,3.727
2314,3.905
2315,3.725
2316,3.405
2317,3.157
2318,3.021
2319,2.953
2320,2.924
2321,2.943
2322,3.036
2323,3.247
2324,3.582
2325,3.914
2326,3.985
2327,3.725
2328,3.384
2329,2.798
2330,2.649
2331,2.593
2332,2.599
2333,2.657
2334,2.775
2335,2.981
2336,3.293
2337,3.632
2338,3.763
2339,3.642
2340,3.423
2341,3.221
2342,3.088
2343,3.011
2344,2.971
2345,2.968
2346,3.015
2347,3.132
2348,3.325
2349,3.531
2350,3.581
2351,3.429
2352,3.193
2353,2.734
2354,2.644
2355,2.568
2356,2.533
2357,2.546
2358,2.612
2359,2.749
2360,2.976
2361,3.272
2362,3.488
2363,3.5
2364,3.342
2365,3.157
2366,3.023
2367,2.949
2368,2.915
2369,2.912
2370,2.943
2371,3.033
2372,3.204
2373,3.434
2374,3.562
2375,3.442
2376,3.224
2377,2.412
2378,2.36
2379,2.353
2380,2.388
2381,2.464
2382,2.582
2383,2.751
2384,2.983
2385,3.254
2386,3.396
2387,3.294
2388,3.124
2389,2.989
2390,2.908
2391,2.867
2392,2.852
2393,2.861
2394,2.9
2395,2.973
2396,3.072
2397,3.167
2398,3.179
2399,3.062
2400,2.902
2401,2.746
2402,2.692
2403,2.645
2404,2.624
2405,2.641
2406,2.705
2407,2.822
2408,2.982
2409,3.132
2410,3.148
2411,3.023
2412,2.88
2413,2.784
2414,2.737
2415,2.73
2416,2.761
2417,2.834
2418,2.95
2419,3.11
2420,3.303
2421,3.431
2422,3.369
2423,3.157
2424,2.991
2425,2.556
2426,2.535
2427,2.572
2428,2.665
2429,2.81
2430,3.002
2431,3.232
2432,3.464
2433,3.551
2434,3.398
2435,3.174
2436,3.024
2437,2.959
2438,2.938
2439,2.953
2440,3.014
2441,3.128
2442,3.284
2443,3.437
2444,3.475
2445,3.351
2446,3.166
2447,2.999
2448,2.872
2449,2.395
2450,2.372
2451,2.403
2452,2.492
2453,2.65
2454,2.896
2455,3.249
2456,3.697
2457,3.984
2458,3.889
2459,3.551
2460,3.262
2461,3.116
2462,3.052
2463,3.024
2464,3.031
2465,3.095
2466,3.232
2467,3.433
2468,3.622
2469,3.646
2470,3.445
2471,3.176
2472,2.954
2473,2.754
2474,2.652
2475,2.607
2476,2.621
2477,2.706
2478,2.882
2479,3.166
2480,3.553
2481,3.897
2482,3.909
2483,3.596
2484,3.308
2485,3.147
2486,3.07
2487,3.034
2488,3.029
2489,3.074
2490,3.186
2491,3.376
2492,3.617
2493,3.77
2494,3.656
2495,3.394
2496,3.143
