time,demand
2161,0.779
2162,0.616
2163,0.53
2164,0.501
2165,0.481
2166,0.436
2167,0.565
2168,0.511
2169,0.686
2170,1.066
2171,1.727
2172,1.38
2173,1.143
2174,1.406
2175,1.219
2176,1.101
2177,0.944
2178,0.848
2179,0.743
2180,0.647
2181,0.592
2182,0.598
2183,0.767
2184,0.76
2185,0.733
2186,0.66
2187,0.589
2188,0.536
2189,0.491
2190,0.437
2191,0.375
2192,0.337
2193,0.373
2194,0.528
2195,0.775
2196,0.992
2197,1.517
2198,1.141
2199,1.08
2200,1.026
2201,0.943
2202,0.831
2203,0.712
2204,0.619
2205,0.582
2206,0.611
2207,0.686
2208,0.761
2209,0.795
2210,0.687
2211,0.6
2212,0.544
2213,0.499
2214,0.446
2215,0.39
2216,0.363
2217,0.413
2218,0.569
2219,0.971
2220,1.52
2221,1.798
2222,1.785
2223,1.567
2224,1.705
2225,1.278
2226,1.296
2227,1.046
2228,0.825
2229,0.808
2230,0.922
2231,0.86
2232,0.834
2233,0.816
2234,0.734
2235,0.646
2236,0.581
2237,0.534
2238,0.485
2239,0.426
2240,0.375
2241,0.379
2242,0.497
2243,0.746
2244,1.029
2245,1.199
2246,1.259
2247,1.597
2248,1.493
2249,1.474
2250,1.47
2251,0.917
2252,0.807
2253,0.746
2254,0.745
2255,0.922
2256,0.86
2257,0.697
2258,0.628
2259,0.565
2260,0.525
2261,0.491
2262,0.442
2263,0.371
2264,0.307
2265,0.942
2266,1.446
2267,1.942
2268,2.632
2269,1.895
2270,1.933
2271,1.905
2272,1.461
2273,3.566
2274,1.546
2275,1.097
2276,2.191
2277,1.504
2278,0.846
2279,2.038
2280,1.824
2281,1.089
2282,0.809
2283,0.635
2284,0.582
2285,0.535
2286,0.454
2287,0.355
2288,0.283
2289,0.303
2290,0.49
2291,0.843
2292,1.134
2293,1.67
2294,1.597
2295,1.61
2296,1.389
2297,1.179
2298,0.896
2299,0.678
2300,0.605
2301,0.562
2302,0.57
2303,0.736
2304,0.854
2305,0.819
2306,0.733
2307,0.63
2308,0.554
2309,0.508
2310,0.468
2311,0.418
2312,0.375
2313,0.389
2314,0.516
2315,0.765
2316,1.038
2317,1.197
2318,1.244
2319,1.779
2320,1.585
2321,1.132
2322,0.949
2323,0.798
2324,0.675
2325,0.609
2326,0.608
2327,0.662
2328,0.735
2329,0.733
2330,0.648
2331,0.557
2332,0.503
2333,0.478
2334,0.448
2335,0.58
2336,0.517
2337,0.84
2338,1.367
2339,1.968
2340,1.96
2341,2.363
2342,1.688
2343,1.121
2344,1.029
2345,0.951
2346,0.853
2347,0.74
2348,0.625
2349,0.532
2350,0.485
2351,0.496
2352,0.555
2353,1.023
2354,0.841
2355,0.682
2356,0.596
2357,0.548
2358,0.498
2359,0.44
2360,0.406
2361,0.45
2362,0.619
2363,0.896
2364,1.139
2365,1.232
2366,1.219
2367,1.156
2368,1.076
2369,0.984
2370,0.878
2371,0.771
2372,0.688
2373,0.659
2374,0.698
2375,0.795
2376,0.905
2377,0.554
2378,0.604
2379,0.608
2380,0.58
2381,0.542
2382,0.504
2383,0.468
2384,0.429
2385,0.393
2386,0.377
2387,0.412
2388,0.514
2389,0.669
2390,0.821
2391,0.917
2392,0.95
2393,0.934
2394,0.878
2395,0.79
2396,0.681
2397,0.571
2398,0.485
2399,0.441
2400,0.443
2401,0.407
2402,0.36
2403,0.33
2404,0.318
2405,0.391
2406,0.398
2407,0.374
2408,0.398
2409,0.615
2410,0.942
2411,1.236
2412,1.37
2413,1.527
2414,1.524
2415,1.539
2416,1.187
2417,1.183
2418,0.887
2419,0.536
2420,0.389
2421,0.455
2422,0.477
2423,0.414
2424,0.44
2425,0.42
2426,0.379
2427,0.347
2428,0.333
2429,0.363
2430,0.424
2431,0.396
2432,0.388
2433,0.598
2434,0.98
2435,1.288
2436,1.403
2437,1.138
2438,0.858
2439,0.878
2440,1.445
2441,1.199
2442,0.822
2443,0.523
2444,0.427
2445,0.41
2446,0.471
2447,0.422
2448,0.838
2449,0.643
2450,0.538
2451,0.453
2452,0.407
2453,0.387
2454,0.365
2455,0.327
2456,0.286
2457,0.283
2458,0.369
2459,2.046
2460,1.692
2461,1.999
2462,1.941
2463,1.618
2464,1.472
2465,1.153
2466,0.981
2467,0.61
2468,0.489
2469,0.397
2470,0.353
2471,0.789
2472,0.871
2473,0.739
2474,0.621
2475,0.517
2476,0.471
2477,0.459
2478,0.441
2479,0.491
2480,0.498
2481,0.932
2482,1.359
2483,1.988
2484,1.583
2485,1.556
2486,1.568
2487,1.579
2488,1.408
2489,0.936
2490,0.809
2491,0.68
2492,0.567
2493,0.492
2494,0.468
2495,0.496
2496,0.556
