time,demand,supply
1,0.536,-0.004
2,0.517,-0.004
3,0.515,-0.004
4,0.529,-0.003
5,0.516,-0.004
6,0.504,-0.004
7,0.534,-0.003
8,0.503,-0.004
9,0.496,-0.004
10,0.687,0.014
11,0.624,0.122
12,0.551,0.202
13,0.498,0.184
14,0.583,0.155
15,1.269,0.148
16,1.403,0.204
17,0.431,0.138
18,0.631,0.009
19,1.026,-0.003
20,0.814,-0.002
21,0.877,-0.002
22,1.060,-0.003
23,1.089,-0.003
24,1.214,-0.005
25,0.577,-0.003
26,0.467,-0.004
27,0.548,-0.003
28,0.508,-0.004
29,0.522,-0.003
30,0.497,-0.004
31,0.528,-0.003
32,0.500,-0.003
33,0.537,-0.004
34,0.557,0.077
35,0.555,0.191
36,0.507,0.318
37,0.508,0.281
38,0.460,0.345
39,0.882,0.186
40,1.142,0.136
41,0.733,0.062
42,1.249,0.038
43,1.250,-0.004
44,1.118,-0.002
45,0.931,-0.001
46,1.764,-0.006
47,1.483,-0.006
48,0.716,-0.003
49,0.602,-0.003
50,0.382,-0.003
51,0.596,-0.003
52,0.563,-0.003
53,0.497,-0.003
54,0.475,-0.003
55,0.586,-0.003
56,0.527,-0.003
57,0.512,0.001
58,0.707,0.276
59,0.640,0.716
60,0.621,1.457
61,0.538,2.960
62,0.667,3.944
63,1.733,3.994
64,1.876,3.625
65,2.347,1.298
66,2.816,0.105
67,1.603,0.017
68,1.635,-0.001
69,2.057,0.002
70,1.118,-0.002
71,1.039,-0.003
72,0.525,-0.003
73,0.454,-0.003
74,0.406,-0.003
75,0.612,-0.003
76,0.578,-0.003
77,0.390,-0.003
78,0.568,-0.003
79,0.592,-0.003
80,0.575,-0.003
81,0.556,0.006
82,0.611,0.391
83,0.720,1.511
84,0.650,2.689
85,0.506,3.549
86,0.724,4.126
87,2.149,4.310
88,1.406,3.869
89,2.352,1.479
90,3.287,0.330
91,1.360,0.062
92,0.744,-0.003
93,1.103,-0.003
94,1.115,-0.003
95,0.936,-0.003
96,0.488,-0.003
97,0.594,-0.003
98,0.608,-0.003
99,0.563,-0.003
100,0.602,-0.003
101,0.612,-0.003
102,0.614,-0.003
103,0.727,-0.002
104,0.644,-0.003
105,0.651,0.009
106,0.830,0.312
107,0.652,1.322
108,0.661,2.607
109,0.659,3.366
110,0.628,3.785
111,0.790,4.009
112,0.413,3.674
113,0.600,1.477
114,0.599,0.147
115,0.939,0.020
116,1.068,-0.003
117,1.520,-0.000
118,0.977,-0.003
119,1.166,-0.003
120,0.945,-0.003
121,0.435,-0.003
122,0.585,-0.003
123,0.549,-0.003
124,0.552,-0.003
125,0.646,-0.003
126,0.638,-0.003
127,0.571,-0.003
128,0.553,-0.003
129,0.774,0.004
130,0.936,0.345
131,0.565,1.395
132,0.415,2.443
133,0.461,3.141
