time,demand
2161,0.427
2162,0.502
2163,0.543
2164,0.594
2165,0.706
2166,0.844
2167,0.924
2168,0.921
2169,0.841
2170,0.729
2171,0.659
2172,0.468
2173,0.507
2174,0.613
2175,0.614
2176,0.471
2177,0.829
2178,0.976
2179,1.053
2180,1.025
2181,0.752
2182,0.815
2183,0.432
2184,0.514
2185,0.546
2186,0.572
2187,0.596
2188,0.704
2189,0.887
2190,0.979
2191,0.962
2192,0.891
2193,0.809
2194,0.736
2195,0.708
2196,0.712
2197,0.702
2198,0.676
2199,0.697
2200,0.819
2201,0.98
2202,1.034
2203,1.006
2204,0.951
2205,0.866
2206,0.757
2207,0.688
2208,0.672
2209,0.645
2210,0.642
2211,0.679
2212,0.804
2213,0.974
2214,1.031
2215,0.99
2216,0.922
2217,0.857
2218,0.814
2219,0.807
2220,0.792
2221,0.753
2222,0.739
2223,0.817
2224,0.968
2225,1.052
2226,0.751
2227,0.966
2228,0.908
2229,0.838
2230,0.717
2231,0.663
2232,0.662
2233,0.716
2234,0.713
2235,0.744
2236,0.864
2237,1.035
2238,1.084
2239,1.038
2240,0.979
2241,0.915
2242,0.839
2243,0.791
2244,0.764
2245,0.739
2246,0.724
2247,0.767
2248,0.898
2249,1.034
2250,1.06
2251,1.02
2252,0.523
2253,0.531
2254,0.59
2255,0.526
2256,0.584
2257,0.571
2258,0.579
2259,0.573
2260,0.583
2261,0.653
2262,0.778
2263,0.9
2264,0.949
2265,0.944
2266,0.878
2267,0.746
2268,0.648
2269,0.614
2270,0.379
2271,0.33
2272,0.311
2273,0.313
2274,0.329
2275,0.368
2276,0.586
2277,0.917
2278,0.872
2279,0.774
2280,0.625
2281,0.629
2282,0.615
2283,0.601
2284,0.667
2285,0.78
2286,0.909
2287,0.993
2288,1.018
2289,0.997
2290,0.913
2291,0.748
2292,0.613
2293,0.719
2294,0.585
2295,0.61
2296,0.781
2297,0.785
2298,0.929
2299,1.593
2300,1.379
2301,0.97
2302,0.918
2303,0.746
2304,0.713
2305,0.63
2306,0.642
2307,0.645
2308,0.692
2309,0.8
2310,0.925
2311,0.984
2312,0.958
2313,0.873
2314,0.767
2315,0.681
2316,0.665
2317,0.68
2318,0.677
2319,0.669
2320,0.5
2321,0.556
2322,0.708
2323,0.977
2324,1.008
2325,0.956
2326,0.87
2327,0.763
2328,0.487
2329,0.532
2330,0.592
2331,0.604
2332,0.641
2333,0.776
2334,0.946
2335,0.998
2336,0.961
2337,0.885
2338,0.795
2339,0.717
2340,0.664
2341,0.532
2342,0.405
2343,0.462
2344,0.497
2345,0.516
2346,0.608
2347,0.754
2348,0.993
2349,0.926
2350,0.706
2351,0.474
2352,0.677
2353,0.753
2354,0.704
2355,0.679
2356,0.728
2357,0.888
2358,1.032
2359,1.034
2360,0.985
2361,0.924
2362,0.838
2363,0.75
2364,0.694
2365,0.672
2366,0.663
2367,0.673
2368,0.753
2369,0.915
2370,1.028
2371,1.024
2372,0.963
2373,0.888
2374,0.809
2375,0.752
2376,0.735
2377,0.764
2378,0.742
2379,0.742
2380,0.798
2381,0.96
2382,1.102
2383,1.101
2384,1.047
2385,0.997
2386,0.931
2387,0.836
2388,0.767
2389,0.73
2390,0.711
2391,0.711
2392,0.772
2393,0.914
2394,1.034
2395,1.046
2396,0.992
2397,0.92
2398,0.828
2399,0.758
2400,0.735
2401,0.809
2402,0.794
2403,0.79
2404,0.839
2405,0.976
2406,1.1
2407,1.108
2408,1.065
2409,1.016
2410,0.924
2411,0.802
2412,0.722
2413,0.695
2414,0.693
2415,0.696
2416,0.751
2417,0.896
2418,1.041
2419,1.061
2420,1.001
2421,0.926
2422,0.85
2423,0.799
2424,0.789
2425,0.755
2426,0.741
2427,0.763
2428,0.853
2429,0.981
2430,1.045
2431,1.031
2432,0.968
2433,0.876
2434,0.772
2435,0.713
2436,0.708
2437,0.713
2438,0.713
2439,0.776
2440,0.948
2441,1.1
2442,1.102
2443,1.042
2444,0.636
2445,0.642
2446,0.738
2447,0.678
2448,0.507
2449,0.591
2450,0.608
2451,0.607
2452,0.625
2453,0.728
2454,0.906
2455,1.004
2456,0.989
2457,0.937
2458,0.671
2459,0.761
2460,0.71
2461,0.697
2462,0.686
2463,0.684
2464,0.763
2465,0.94
2466,1.05
2467,0.597
2468,0.683
2469,0.692
2470,0.844
2471,0.747
2472,0.482
2473,0.509
2474,0.546
2475,0.582
2476,0.595
2477,0.636
2478,0.769
2479,0.935
2480,0.973
2481,0.946
2482,0.904
2483,0.833
2484,0.766
2485,0.731
2486,0.709
2487,0.685
2488,0.689
2489,0.766
2490,0.914
2491,1.014
2492,0.797
2493,0.927
2494,0.891
2495,0.609
2496,0.435
