time,total_demand,total_supply,tradePirces,total_transactions,total_gas_cost_bids,total_gas_cost_asks,total_gas_cost_trade,total_trades_from_Market,total_transactions_from_Market,total_transactions_from_NG
2161,36220.0,-104.0,0.0,0,0.0,0.0,0.0,0,0,0
2162,33008.0,-103.0,0.0,1,16.317,0.0,0.0,0,1,0
2163,20957.0,-102.0,0.0,1,14.52,0.0,0.0,0,1,0
2164,18407.0,-101.0,0.0,2,29.04,0.0,0.0,0,2,0
2165,15095.0,-103.0,0.0,3,43.56,0.0,0.0,0,3,0
2166,18628.0,-100.0,0.0,4,58.081,0.0,0.0,0,4,0
2167,16566.0,-101.0,0.0,4,58.078,0.0,0.0,0,4,0
2168,16357.0,-65.0,0.0,4,58.081,0.0,0.0,0,4,0
2169,18402.0,1458.0,0.0,3,43.56,0.0,0.0,0,3,0
2170,18759.0,10106.0,0.0,3,43.56,0.0,0.0,0,3,0
2171,18607.0,22885.0,0.0,3,43.558,0.0,0.0,0,3,0
2172,25041.0,32476.0,0.0,4,58.079,0.0,0.0,0,4,0
2173,28668.0,28901.0,0.0,5,72.601,0.0,0.0,0,5,0
2174,39733.0,32174.0,0.0,5,72.599,0.0,0.0,0,5,0
2175,35269.0,36013.0,0.0,5,72.599,0.0,0.0,0,5,0
2176,32318.0,46997.0,0.0,5,72.599,0.0,0.0,0,5,0
2177,31668.0,42812.0,0.0,6,72.601,16.31,0.0,0,6,0
2178,31877.0,36645.0,0.18,9,72.599,14.515,6.615,3,9,0
2179,34258.0,32733.0,0.165,18,43.56,14.515,30.87,14,18,0
2180,31251.0,27326.0,0.147,19,58.081,14.515,30.87,14,19,0
2181,33925.0,19476.0,0.145,8,101.638,14.515,0.0,0,8,0
2182,35168.0,15003.0,0.149,7,87.12,14.515,0.0,0,7,0
2183,27710.0,7861.0,0.0,6,87.121,0.0,0.0,0,6,0
2184,26149.0,854.0,0.0,22,101.64,0.0,0.0,0,7,15
2185,35105.0,-106.0,0.0,0,0.0,0.0,0.0,0,0,0
2186,32286.0,-104.0,0.0,1,16.317,0.0,0.0,0,1,0
2187,30156.0,-105.0,0.0,1,14.52,0.0,0.0,0,1,0
2188,28667.0,-105.0,0.0,3,43.559,0.0,0.0,0,3,0
2189,23182.0,-104.0,0.0,5,72.599,0.0,0.0,0,5,0
2190,19278.0,-102.0,0.0,6,87.121,0.0,0.0,0,6,0
2191,19559.0,-103.0,0.0,7,101.641,0.0,0.0,0,7,0
2192,18703.0,-101.0,0.0,6,87.121,0.0,0.0,0,6,0
2193,25618.0,370.0,0.0,6,87.121,0.0,0.0,0,6,0
2194,30268.0,1678.0,0.0,7,101.638,0.0,0.0,0,7,0
2195,29075.0,6966.0,0.0,7,101.641,0.0,0.0,0,7,0
2196,26188.0,15253.0,0.0,7,87.12,16.311,0.0,0,7,0
2197,28443.0,18125.0,0.101,11,87.118,72.575,0.0,0,11,0
2198,36194.0,26917.0,0.101,14,87.12,72.575,6.615,3,14,0
2199,37156.0,35528.0,0.103,12,87.121,58.062,4.41,2,12,0
2200,38965.0,39073.0,0.107,10,58.079,72.577,2.205,1,10,0
2201,36048.0,37162.0,0.11,10,43.559,87.091,2.205,1,10,0
2202,35587.0,35567.0,0.109,10,87.112,58.062,0.0,0,10,0
2203,39002.0,31784.0,0.11,9,72.601,43.544,2.205,1,9,0
2204,36354.0,24144.0,0.114,21,87.118,29.031,28.665,13,21,0
2205,31846.0,20029.0,0.117,7,87.117,14.515,0.0,0,7,0
2206,32361.0,11483.0,0.117,7,87.118,14.515,0.0,0,7,0
2207,30257.0,5037.0,0.0,6,87.121,0.0,0.0,0,6,0
2208,25919.0,475.0,0.0,24,130.68,0.0,0.0,0,9,15
2209,39282.0,-107.0,0.0,0,0.0,0.0,0.0,0,0,0
2210,36108.0,-107.0,0.0,1,16.316,0.0,0.0,0,1,0
2211,31270.0,-108.0,0.0,1,14.52,0.0,0.0,0,1,0
2212,16947.0,-107.0,0.0,4,58.081,0.0,0.0,0,4,0
2213,16871.0,-108.0,0.0,4,58.081,0.0,0.0,0,4,0
2214,18335.0,-106.0,0.0,4,58.081,0.0,0.0,0,4,0
2215,17972.0,-107.0,0.0,3,43.56,0.0,0.0,0,3,0
2216,19362.0,-83.0,0.0,3,43.559,0.0,0.0,0,3,0
2217,20601.0,1739.0,0.0,3,43.56,0.0,0.0,0,3,0
2218,24070.0,10512.0,0.0,4,43.56,16.311,0.0,0,4,0
2219,24105.0,21991.0,0.107,7,43.56,43.545,2.205,1,7,0
2220,26917.0,31205.0,0.11,8,72.601,43.544,0.0,0,8,0
2221,23776.0,34683.0,0.115,16,72.601,116.121,6.615,3,16,0
2222,29548.0,48729.0,0.127,26,29.038,130.636,33.075,15,26,0
2223,38626.0,50394.0,0.137,11,0.0,145.153,2.205,1,11,0
2224,32921.0,46393.0,0.149,12,0.0,130.637,6.615,3,12,0
2225,27081.0,52740.0,0.158,11,14.52,130.635,2.205,1,11,0
2226,24282.0,40557.0,0.163,24,29.039,116.123,30.87,14,24,0
2227,24904.0,41516.0,0.193,21,14.52,87.092,30.87,14,21,0
2228,28111.0,33775.0,0.0,4,14.52,43.545,0.0,0,4,0
2229,28664.0,21537.0,0.0,5,58.079,14.515,0.0,0,5,0
2230,30282.0,12859.0,0.0,5,58.081,14.515,0.0,0,5,0
2231,29104.0,8073.0,0.0,8,87.12,14.515,2.205,1,8,0
2232,26736.0,654.0,0.188,9,72.601,0.0,6.615,3,8,1
2233,28841.0,-107.0,0.0,0,0.0,0.0,0.0,0,0,0
2234,25018.0,-106.0,0.0,1,16.316,0.0,0.0,0,1,0
2235,25195.0,-104.0,0.0,3,43.56,0.0,0.0,0,3,0
2236,19658.0,-106.0,0.0,4,58.081,0.0,0.0,0,4,0
2237,17757.0,-105.0,0.0,4,58.079,0.0,0.0,0,4,0
2238,20107.0,-105.0,0.0,4,58.079,0.0,0.0,0,4,0
2239,18444.0,-103.0,0.0,4,58.078,0.0,0.0,0,4,0
2240,19053.0,232.0,0.0,4,58.081,0.0,0.0,0,4,0
2241,21178.0,9765.0,0.0,4,58.079,0.0,0.0,0,4,0
2242,22580.0,19828.0,0.108,18,58.079,45.342,24.255,11,18,0
2243,22967.0,28528.0,0.112,7,43.56,58.06,0.0,0,7,0
2244,24469.0,36623.0,0.124,25,58.077,101.604,30.87,14,25,0
2245,22144.0,43550.0,0.147,12,14.52,116.123,6.615,3,12,0
2246,27663.0,50562.0,0.163,13,14.52,116.122,8.82,4,13,0
2247,28148.0,54847.0,0.182,26,14.52,145.15,33.075,15,26,0
